Date,Start Time,End Time
2024-02-14,07:00:00,15:10:00
2024-02-14,16:50:00,17:00:00
2024-02-17,16:20:00,17:00:00
2024-02-18,07:00:00,12:30:00
2024-02-22,10:50:00,13:30:00
2024-02-25,09:00:00,17:00:00
2024-02-27,09:00:00,17:00:00
2024-02-29,07:00:00,07:50:00
2024-03-05,08:50:00,17:00:00
2024-03-19,07:00:00,17:00:00
2024-03-20,07:00:00,11:10:00
2024-03-21,08:40:00,10:20:00
2024-03-23,07:00:00,14:40:00
2024-03-24,07:00:00,17:00:00
2024-03-25,07:00:00,17:00:00
2024-03-27,09:00:00,17:00:00
2024-04-02,12:30:00,17:00:00
2024-04-03,10:30:00,14:40:00
2024-04-06,07:00:00,17:00:00
2024-04-07,07:00:00,17:00:00
2024-04-08,07:00:00,16:50:00
2024-04-14,07:00:00,17:00:00
2024-04-15,07:00:00,16:50:00
2024-04-17,09:00:00,17:00:00
2024-04-19,07:00:00,17:00:00
2024-04-20,07:00:00,17:00:00
2024-04-21,07:00:00,17:00:00
2024-04-22,07:00:00,17:00:00
2024-04-23,07:00:00,17:00:00
2024-04-24,07:00:00,17:00:00
2024-04-25,07:00:00,17:00:00
2024-04-26,07:00:00,17:00:00
2024-04-27,07:00:00,17:00:00
2024-04-28,07:00:00,17:00:00
2024-04-29,07:00:00,17:00:00
2024-04-30,07:00:00,17:00:00
2024-05-01,07:00:00,17:00:00
2024-05-06,09:00:00,17:00:00
2024-05-07,07:00:00,17:00:00
2024-05-08,07:00:00,17:00:00
2024-05-09,07:00:00,17:00:00
2024-05-10,07:00:00,17:00:00
2024-05-11,07:00:00,17:00:00
2024-05-12,07:00:00,17:00:00
2024-05-13,07:00:00,17:00:00
2024-05-14,07:00:00,17:00:00
2024-05-17,09:00:00,17:00:00
2024-05-21,07:00:00,17:00:00
2024-05-22,07:00:00,17:00:00
2024-05-23,07:00:00,17:00:00
2024-05-24,07:00:00,17:00:00
2024-05-25,07:00:00,16:30:00
2024-06-01,12:00:00,17:00:00
2024-06-02,07:10:00,17:00:00
2024-06-03,07:00:00,17:00:00
2024-06-04,07:00:00,17:00:00
2024-06-05,07:00:00,17:00:00
2024-06-06,07:00:00,17:00:00
2024-06-07,07:00:00,17:00:00
2024-06-08,07:00:00,17:00:00
2024-06-09,07:00:00,17:00:00
2024-06-10,07:00:00,17:00:00
2024-06-11,07:00:00,17:00:00
2024-06-12,07:00:00,17:00:00
2024-06-13,07:00:00,17:00:00
2024-06-14,07:00:00,17:00:00
2024-06-15,07:00:00,17:00:00
2024-06-22,16:10:00,17:00:00
2024-06-23,07:00:00,17:00:00
2024-06-24,07:00:00,17:00:00
2024-06-25,07:00:00,17:00:00
2024-06-26,07:00:00,17:00:00
2024-06-27,07:00:00,17:00:00
2024-06-28,07:00:00,17:00:00
2024-06-29,07:00:00,17:00:00
2024-06-30,07:00:00,17:00:00
2024-07-01,07:00:00,14:10:00
2024-07-04,09:00:00,17:00:00
2024-07-08,09:50:00,17:00:00
2024-07-09,07:00:00,17:00:00
2024-07-10,07:00:00,17:00:00
2024-07-11,07:00:00,16:20:00
2024-07-15,09:00:00,17:00:00
2024-07-18,17:00:00,17:00:00
