Date,Start Time,End Time
2024-04-21,07:00:00,16:20:00
2024-04-30,12:30:00,17:00:00
2024-05-01,07:00:00,16:00:00
2024-05-09,09:00:00,17:00:00
2024-05-14,09:00:00,17:00:00
2024-05-19,07:00:00,17:00:00
2024-05-20,07:00:00,17:00:00
2024-05-21,07:00:00,17:00:00
2024-05-22,07:00:00,10:30:00
2024-05-24,16:10:00,16:20:00
2024-05-24,16:40:00,16:50:00
2024-05-26,07:00:00,17:00:00
2024-05-27,07:00:00,17:00:00
2024-05-28,07:00:00,13:30:00
2024-06-01,07:00:00,14:00:00
2024-06-08,07:00:00,17:00:00
2024-06-09,07:00:00,17:00:00
2024-06-10,07:00:00,17:00:00
2024-06-15,09:00:00,17:00:00
2024-06-17,11:10:00,15:50:00
2024-06-20,09:00:00,17:00:00
2024-06-25,07:00:00,17:00:00
2024-06-26,07:00:00,17:00:00
2024-06-27,07:00:00,17:00:00
2024-06-30,07:00:00,17:00:00
2024-07-01,07:00:00,17:00:00
2024-07-02,07:00:00,16:40:00
2024-07-06,09:00:00,17:00:00
2024-07-08,09:00:00,17:00:00
2024-07-19,07:00:00,17:00:00
