Date,Start Time,End Time
2024-01-10,09:00:00,17:00:00
2024-01-11,09:00:00,17:00:00
2024-01-12,09:00:00,17:00:00
2024-01-24,09:00:00,17:00:00
2024-01-28,09:00:00,17:00:00
2024-02-04,09:00:00,17:00:00
2024-02-12,07:00:00,08:50:00
2024-02-13,15:00:00,16:00:00
2024-02-15,08:20:00,10:10:00
2024-02-18,09:00:00,17:00:00
2024-02-19,14:20:00,15:10:00
2024-02-21,08:40:00,08:40:00
2024-02-22,09:40:00,11:20:00
2024-02-22,14:10:00,15:10:00
2024-02-27,14:10:00,16:10:00
2024-03-05,09:00:00,17:00:00
2024-03-09,07:00:00,11:50:00
2024-03-11,13:30:00,13:40:00
2024-03-12,13:20:00,15:00:00
2024-03-13,12:50:00,14:30:00
2024-03-14,10:20:00,12:00:00
2024-03-14,14:30:00,16:20:00
2024-03-18,12:40:00,14:30:00
2024-03-21,11:00:00,12:50:00
2024-03-21,13:30:00,15:20:00
2024-03-21,15:50:00,17:00:00
2024-03-22,11:20:00,13:10:00
2024-03-22,16:00:00,17:00:00
2024-03-25,09:00:00,17:00:00
2024-03-28,09:00:00,17:00:00
2024-03-30,09:20:00,09:20:00
2024-04-03,08:00:00,17:00:00
2024-04-04,07:00:00,17:00:00
2024-04-05,07:00:00,17:00:00
2024-04-06,07:00:00,17:00:00
2024-04-07,07:00:00,17:00:00
2024-04-08,07:00:00,17:00:00
2024-04-09,07:00:00,17:00:00
2024-04-10,07:00:00,17:00:00
2024-04-11,07:00:00,17:00:00
2024-04-12,07:00:00,17:00:00
2024-04-13,07:00:00,17:00:00
2024-04-14,07:00:00,17:00:00
2024-04-15,07:00:00,12:40:00
2024-04-17,08:30:00,08:30:00
2024-04-17,14:40:00,14:50:00
2024-04-17,15:20:00,15:30:00
2024-04-17,15:50:00,15:50:00
2024-04-17,16:10:00,16:20:00
2024-04-18,07:00:00,17:00:00
2024-04-19,07:00:00,09:10:00
2024-04-20,15:00:00,17:00:00
2024-04-23,07:00:00,17:00:00
2024-04-24,07:00:00,17:00:00
2024-04-25,07:00:00,17:00:00
2024-04-26,07:00:00,17:00:00
2024-04-27,07:00:00,17:00:00
2024-04-28,07:00:00,17:00:00
2024-04-29,07:00:00,17:00:00
2024-04-30,07:00:00,17:00:00
2024-05-01,07:00:00,11:10:00
2024-05-08,09:00:00,17:00:00
2024-05-09,09:00:00,17:00:00
2024-05-11,08:40:00,09:40:00
2024-05-14,07:00:00,17:00:00
2024-05-15,07:30:00,08:10:00
2024-05-16,07:00:00,15:30:00
2024-05-18,09:00:00,17:00:00
2024-05-21,09:00:00,17:00:00
2024-05-24,07:20:00,17:00:00
2024-05-26,09:00:00,17:00:00
2024-05-29,09:00:00,17:00:00
2024-06-03,14:30:00,14:30:00
2024-06-07,09:00:00,17:00:00
2024-06-11,07:00:00,17:00:00
2024-06-13,09:00:00,17:00:00
2024-06-18,09:00:00,17:00:00
2024-06-20,07:00:00,17:00:00
2024-06-21,07:00:00,17:00:00
2024-06-22,07:00:00,17:00:00
2024-06-23,07:00:00,17:00:00
2024-06-24,07:00:00,14:50:00
2024-06-24,15:10:00,15:30:00
2024-06-25,11:10:00,11:20:00
2024-06-25,12:20:00,13:20:00
2024-06-26,11:50:00,11:50:00
2024-06-28,09:00:00,17:00:00
2024-06-30,09:00:00,17:00:00
2024-07-02,09:00:00,17:00:00
2024-07-05,09:00:00,17:00:00
2024-07-09,09:00:00,17:00:00
2024-07-11,07:40:00,11:30:00
2024-07-15,09:00:00,17:00:00
2024-07-19,09:00:00,17:00:00
2024-07-21,07:00:00,17:00:00
2024-07-22,07:00:00,17:00:00
2024-07-23,07:00:00,17:00:00
2024-07-24,07:00:00,17:00:00
2024-07-25,07:00:00,17:00:00
2024-07-26,07:00:00,17:00:00
2024-07-27,07:00:00,17:00:00
2024-07-28,07:00:00,17:00:00
2024-07-29,07:00:00,17:00:00
2024-07-30,07:00:00,17:00:00
2024-07-31,07:00:00,17:00:00
2024-08-01,07:00:00,17:00:00
2024-08-02,07:00:00,17:00:00
2024-08-03,07:00:00,17:00:00
2024-08-04,07:00:00,17:00:00
2024-08-05,07:00:00,17:00:00
2024-08-06,07:00:00,17:00:00
2024-08-07,07:00:00,17:00:00
2024-08-08,07:00:00,17:00:00
2024-08-09,07:00:00,15:40:00
2024-08-12,09:00:00,17:00:00
2024-08-13,09:00:00,17:00:00
2024-08-14,09:00:00,17:00:00
2024-08-16,07:00:00,13:20:00
2024-08-19,08:20:00,11:00:00
2024-08-21,07:00:00,09:10:00
2024-08-21,12:00:00,12:40:00
2024-08-21,15:50:00,17:00:00
2024-08-22,07:00:00,07:30:00
2024-08-22,08:40:00,17:00:00
2024-08-23,07:00:00,17:00:00
2024-08-24,07:00:00,17:00:00
2024-08-25,07:00:00,17:00:00
2024-08-26,07:00:00,15:50:00
2024-08-28,09:00:00,17:00:00
2024-08-29,09:00:00,17:00:00
2024-08-31,15:20:00,17:00:00
