Date,Start Time,End Time
2024-01-17,07:00:00,15:10:00
2024-01-23,07:00:00,09:10:00
2024-01-25,09:00:00,17:00:00
2024-01-28,09:00:00,17:00:00
2024-01-29,12:00:00,12:20:00
2024-01-30,09:20:00,09:40:00
2024-02-13,09:00:00,17:00:00
2024-02-15,08:50:00,10:30:00
2024-02-22,09:30:00,11:10:00
2024-02-23,07:40:00,08:20:00
2024-02-26,09:00:00,17:00:00
2024-02-29,12:30:00,13:10:00
2024-03-19,09:00:00,17:00:00
2024-03-21,10:00:00,17:00:00
2024-03-22,07:00:00,17:00:00
2024-03-24,07:00:00,17:00:00
2024-03-25,07:00:00,11:50:00
2024-04-03,08:20:00,17:00:00
2024-04-04,07:00:00,17:00:00
2024-04-05,07:00:00,17:00:00
2024-04-06,07:00:00,17:00:00
2024-04-07,07:00:00,17:00:00
2024-04-08,07:00:00,17:00:00
2024-04-09,07:00:00,17:00:00
2024-04-10,07:00:00,17:00:00
2024-04-11,07:00:00,17:00:00
2024-04-12,07:00:00,17:00:00
2024-04-13,07:00:00,17:00:00
2024-04-14,07:00:00,17:00:00
2024-04-15,07:00:00,17:00:00
2024-04-16,07:00:00,17:00:00
2024-04-17,07:00:00,17:00:00
2024-04-21,07:00:00,10:50:00
2024-04-23,08:10:00,10:30:00
2024-04-23,11:00:00,11:10:00
2024-04-27,09:00:00,17:00:00
2024-05-01,07:00:00,15:50:00
2024-05-06,13:10:00,13:40:00
2024-05-08,09:00:00,17:00:00
2024-05-10,09:30:00,12:00:00
2024-05-11,08:40:00,09:40:00
2024-05-14,15:30:00,16:00:00
2024-05-15,16:10:00,17:00:00
2024-05-16,09:50:00,12:00:00
2024-05-16,12:20:00,17:00:00
2024-05-20,07:00:00,17:00:00
2024-05-21,07:00:00,17:00:00
2024-05-22,07:00:00,17:00:00
2024-05-23,07:00:00,17:00:00
2024-05-24,07:00:00,17:00:00
2024-05-25,07:00:00,17:00:00
2024-05-26,07:00:00,17:00:00
2024-05-27,07:00:00,17:00:00
2024-05-28,07:00:00,17:00:00
2024-05-29,07:00:00,17:00:00
2024-05-30,07:00:00,17:00:00
2024-05-31,07:00:00,17:00:00
2024-06-01,07:00:00,17:00:00
2024-06-02,07:00:00,17:00:00
2024-06-03,07:00:00,17:00:00
2024-06-04,07:00:00,17:00:00
2024-06-05,07:00:00,17:00:00
2024-06-06,07:00:00,17:00:00
2024-06-07,07:00:00,17:00:00
2024-06-08,07:00:00,17:00:00
2024-06-09,07:00:00,17:00:00
2024-06-10,07:00:00,17:00:00
2024-06-11,07:00:00,17:00:00
2024-06-12,07:00:00,17:00:00
2024-06-13,07:00:00,17:00:00
2024-06-14,07:00:00,17:00:00
2024-06-15,07:00:00,17:00:00
2024-06-16,07:00:00,17:00:00
2024-06-17,07:00:00,17:00:00
2024-06-18,07:00:00,17:00:00
2024-06-19,07:00:00,17:00:00
2024-06-20,07:00:00,17:00:00
2024-06-21,07:00:00,17:00:00
2024-06-22,07:00:00,17:00:00
2024-06-23,07:00:00,17:00:00
2024-06-24,07:00:00,17:00:00
2024-06-25,07:00:00,17:00:00
2024-06-26,07:00:00,17:00:00
2024-06-27,07:00:00,17:00:00
2024-06-28,07:00:00,15:10:00
2024-07-02,08:10:00,16:50:00
2024-07-05,09:00:00,17:00:00
2024-07-07,09:00:00,17:00:00
2024-07-09,07:30:00,17:00:00
2024-07-22,07:00:00,17:00:00
