Date,Start Time,End Time
2024-03-01,07:00:00,17:00:00
2024-03-07,09:00:00,17:00:00
2024-03-08,09:00:00,17:00:00
2024-03-10,09:00:00,17:00:00
2024-03-16,09:00:00,17:00:00
2024-03-24,09:00:00,17:00:00
2024-04-07,07:00:00,17:00:00
2024-04-08,07:00:00,16:30:00
2024-04-12,09:00:00,17:00:00
2024-04-16,07:00:00,17:00:00
2024-04-17,07:00:00,17:00:00
2024-04-19,09:00:00,17:00:00
2024-04-23,09:00:00,17:00:00
2024-04-24,09:00:00,17:00:00
2024-05-01,07:00:00,17:00:00
2024-05-15,09:00:00,17:00:00
2024-05-19,09:00:00,17:00:00
2024-05-20,09:00:00,17:00:00
2024-05-24,12:40:00,14:30:00
2024-05-26,09:00:00,17:00:00
2024-06-04,07:00:00,11:10:00
2024-06-11,07:00:00,17:00:00
2024-06-17,09:00:00,17:00:00
2024-06-19,09:00:00,17:00:00
2024-06-20,09:00:00,17:00:00
2024-06-24,07:00:00,16:50:00
2024-06-25,07:00:00,17:00:00
2024-06-26,07:00:00,17:00:00
2024-06-27,07:00:00,17:00:00
2024-06-28,07:00:00,15:40:00
2024-06-30,09:00:00,17:00:00
2024-07-09,07:00:00,17:00:00
2024-07-11,09:00:00,17:00:00
2024-07-14,09:00:00,17:00:00
2024-07-18,09:00:00,17:00:00
2024-07-20,09:00:00,17:00:00
2024-07-22,07:00:00,17:00:00
