DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-01-17 15:20:00,0.26,1013.48,26.4,43.39,18605.42,61.74
2024-01-17 15:30:00,0.35,1013.48,26.19,44.99,15304.58,40.76
2024-01-17 15:40:00,1.06,1013.5,25.61,49.5,14010.83,34.39
2024-01-17 15:50:00,0.9,1013.49,26.88,46.89,34592.51,144.95
2024-01-17 16:00:00,0.75,1013.48,29.33,40.12,34370.57,85.02
2024-01-17 16:10:00,0.75,1013.55,27.07,44.64,12747.17,15.54
2024-01-17 16:20:00,0.47,1013.63,24.28,52.44,10925.67,9.62
2024-01-17 16:30:00,0.36,1013.67,24.88,49.27,13362.33,7.08
2024-01-17 16:40:00,0.03,1013.77,23.23,53.88,5005.5,3.6
2024-01-17 16:50:00,0.0,1013.88,21.78,59.69,4420.5,3.03
2024-01-17 17:00:00,0.0,1013.89,20.78,64.32,2761.5,0.9
2024-01-18 07:00:00,2.46,1013.28,14.49,82.04,3836.17,3.06
2024-01-18 07:10:00,1.48,1013.43,14.69,81.38,5901.67,7.33
2024-01-18 07:20:00,2.19,1013.45,15.0,80.05,7372.0,10.96
2024-01-18 07:30:00,2.11,1013.51,15.1,80.73,9079.0,16.13
2024-01-18 07:40:00,1.88,1013.59,16.16,77.37,19996.57,111.84
2024-01-18 07:50:00,1.56,1013.58,19.48,64.96,35950.37,358.56
2024-01-18 08:00:00,1.85,1013.67,20.95,58.1,26116.09,202.8
2024-01-18 08:10:00,2.45,1013.71,19.28,61.8,26849.18,234.51
2024-01-18 08:20:00,1.81,1013.78,21.37,56.74,51546.14,697.35
2024-01-18 08:30:00,1.66,1013.65,25.85,44.23,64523.98,903.08
2024-01-18 08:40:00,1.51,1013.7,27.13,41.24,69299.0,1004.81
2024-01-18 08:50:00,1.83,1013.78,29.78,34.86,82957.23,1373.21
2024-01-18 09:00:00,0.41,1013.82,33.16,29.89,88449.37,1509.0
2024-01-18 09:10:00,1.74,1013.91,33.89,26.96,92837.34,1624.18
2024-01-18 09:20:00,1.79,1013.92,33.02,27.22,97186.5,1740.49
2024-01-18 09:30:00,1.53,1013.87,33.14,26.5,102078.13,1839.0
2024-01-18 09:40:00,2.95,1013.81,31.38,28.7,105736.74,1920.11
2024-01-18 09:50:00,3.09,1013.72,30.2,32.44,108745.25,1988.65
2024-01-18 10:00:00,2.5,1013.57,31.36,31.8,111876.67,2020.18
2024-01-18 10:10:00,1.53,1013.21,33.5,27.08,115653.7,2026.77
2024-01-18 10:20:00,1.48,1012.94,35.42,22.82,116911.87,2023.64
2024-01-18 10:30:00,1.61,1012.78,35.21,23.61,117758.2,2059.95
2024-01-18 10:40:00,1.98,1012.65,34.52,24.7,117758.2,2085.46
2024-01-18 10:50:00,2.18,1012.53,34.05,25.49,117758.2,2112.82
2024-01-18 11:00:00,1.42,1012.5,35.3,22.42,117758.2,2097.6
2024-01-18 11:10:00,1.94,1012.32,37.42,19.22,117758.2,2087.11
2024-01-18 11:20:00,1.53,1012.23,37.83,17.9,117758.2,2091.33
2024-01-18 11:30:00,0.7,1011.97,39.05,17.38,117758.2,2046.96
2024-01-18 11:40:00,0.76,1011.78,40.45,16.36,117758.2,2010.08
2024-01-18 11:50:00,1.3,1011.54,38.96,17.41,117758.2,2035.95
2024-01-18 12:00:00,0.66,1011.37,40.34,16.13,117758.2,2010.77
2024-01-18 12:10:00,1.04,1011.1,38.62,18.61,117758.2,2015.45
2024-01-18 12:20:00,0.99,1010.98,38.09,19.46,102398.44,2019.33
2024-01-18 12:30:00,1.14,1010.82,39.15,17.99,117758.2,2001.06
2024-01-18 12:40:00,1.4,1010.59,38.0,19.44,117758.2,2009.4
2024-01-18 12:50:00,1.36,1010.36,38.31,18.78,117758.2,1979.46
2024-01-18 13:00:00,2.52,1010.35,35.97,20.15,117758.2,2018.16
2024-01-18 13:10:00,2.58,1010.22,34.3,22.0,114924.17,1974.08
2024-01-18 13:20:00,1.52,1010.14,34.93,21.03,105966.03,1751.85
