,pearson_corr,el_dist,rmse,cosine_sim
1 2,0.989559159699122,3120.399369519869,88.18770020525545,0.9926940085759146
1 3,0.999761573453022,44.42200018009092,5.0298010614684046,0.9995553984685035
1 5,0.9337923824015036,2702.290280077253,110.50486723189978,0.9423656716493068
1 6,0.8934755862048019,14862.080901943042,385.9304497275447,0.9243740227470973
1 7,0.9091287499037011,9970.643014876227,339.7986049189697,0.9360567538319112
1 8,0.715537617762314,21100.292717808446,454.53239671622305,0.7491706619283965
1 9,0.73070417359155,25293.431961303708,462.95160409308636,0.7709687452230887
1 10,0.737144356630134,9908.117535763291,289.79033319527804,0.7913843018407024
1 11,0.8301183300849895,1227.5465236397356,370.1192028743761,0.8775881935379023
1 12,0.46790005480709684,16126.44523755623,462.6478062117125,0.544612220929615
1 13,0.884197012793159,3684.1176433306255,180.84622243340814,0.8942660962464525
1 14,0.7573044762828296,3343.7900467134596,155.90501481532021,0.797102078737249
1 15,0.7113722374252707,9611.640659804132,282.9401774184318,0.7392554153059824
1 16,0.4616606429750305,2088.4768244584375,506.53003199392305,0.5692821007325568
1 17,0.7810430489336176,3326.8201651276554,124.67785686768111,0.8003785338413074
2 3,0.9901161675281533,7538.9027013485165,234.56217363729405,0.9950498665321287
2 4,0.9707563274966745,28414.56903572355,258.6243716485915,0.98321957291946
2 5,0.8976493427706166,36958.537302506986,339.19764704646735,0.9392512906845858
2 6,0.868446493388702,2812.2764527158424,171.46752157050503,0.8952804803729779
2 8,0.5919232638920717,10977.227853875494,341.0458751452236,0.6215885444628275
2 9,0.5578152057745603,15351.14102228235,455.26098006538706,0.6214454693343969
2 10,0.8987603882873164,12761.047003157697,357.2407324511821,0.9166410758192882
2 11,0.2152974159908317,55323.49854876949,596.0836401229734,0.2636346132640414
2 12,0.5089453777985777,68470.06276721825,571.3183138175434,0.6434052682020935
2 13,0.8500978019973491,12285.589983920187,432.74145034294224,0.8966797853237924
2 14,0.9343247816753212,16958.96465961883,177.83689220576255,0.960360262167953
2 15,0.6479823683636575,15132.378847834863,509.24509402847707,0.7631976527212303
2 16,0.5240740290495434,53187.294858431196,618.749796480971,0.7190101522100116
2 17,0.7318243432928743,7967.812128639831,267.6838835864821,0.7730092140462439
3 4,0.9131861859082838,19578.384740524463,207.26282447535914,0.9410818757026699
3 5,0.907307725207973,20718.422075170212,214.7361493675269,0.9356566245429249
3 6,0.9995522255982896,2.191802910847597,0.20710590803465054,0.9996382422988813
3 8,0.6513447587837478,3406.599694328642,111.70680458572204,0.6780143489042435
3 9,0.9055082830338085,24838.846642746914,350.4343024686878,0.9230041977321115
3 10,0.9566218669391611,4083.7341991735943,219.86085856510593,0.9566924249463976
3 11,0.1650618423512497,19480.27331468427,817.3741110103746,0.23647490396127832
3 12,0.40584982469488323,41675.8129583659,482.9078289204262,0.4582741940839505
3 13,0.4962302467376048,5586.888862112795,733.5944472677455,0.8756683336689733
3 14,0.8676915389502113,18108.77940662209,293.3389303344801,0.9106447895616469
3 15,0.8027458017679254,5199.067333926346,297.6977295391869,0.8341384686068796
3 16,0.5317687544148776,47354.77986200549,558.7025585828384,0.6884184529639155
3 17,0.9464788595161623,4352.2931968676,296.13604286978324,0.98463150134664
4 5,0.8640624894864735,44436.83789726266,286.43901275473183,0.9090513290987791
4 6,0.9995302410782673,129.94240416430657,8.58683576596267,0.9995269371571787
4 8,0.7930293576459081,10394.220448532926,393.7091737987388,0.847644240291042
4 9,0.46116944986361835,34493.90885569799,612.0715095406008,0.5616733137550416
4 10,0.8024401357331081,8201.1861263844,288.16030749275825,0.8194448472177887
4 11,0.1926676223047931,63991.48546585788,843.2350545382561,0.24456732961400166
4 12,0.48237445849166755,87095.56136894228,614.4928915555275,0.5997246042688689
4 13,1.0,0.02,0.01414213562373095,1.0
4 14,0.8689815058667424,35185.68356829519,326.7753922685345,0.9248141469901897
4 15,0.6199764189243453,18439.546894378942,581.9469397695733,0.7319661572528371
4 16,0.6082039127002609,72595.81661405905,527.4850348147758,0.7522142966044423
4 17,0.8740624006154036,3819.3645809479885,365.82877884746506,0.9179318728130633
5 6,0.9851300379403575,1116.685121912171,53.055311261431726,0.987438477458177
