Date,Time,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-01-01,07:00:00,2024-01-01 07:00:00,0.0,1016.73,17.5,86.99,470.83,0.08
2024-01-01,07:10:00,2024-01-01 07:10:00,0.0,1016.77,17.57,86.97,659.67,0.14
2024-01-01,07:20:00,2024-01-01 07:20:00,0.68,1016.92,17.63,86.18,889.67,0.25
2024-01-01,07:30:00,2024-01-01 07:30:00,0.61,1016.99,17.74,85.41,1263.83,0.45
2024-01-01,07:40:00,2024-01-01 07:40:00,0.0,1017.09,17.9,85.41,2136.83,1.13
2024-01-01,07:50:00,2024-01-01 07:50:00,0.0,1017.27,18.13,85.19,2598.0,1.6
2024-01-01,08:00:00,2024-01-01 08:00:00,0.0,1017.42,18.29,84.38,2160.17,1.18
2024-01-01,08:10:00,2024-01-01 08:10:00,0.0,1017.44,18.3,83.79,2424.67,1.44
2024-01-01,08:20:00,2024-01-01 08:20:00,0.0,1017.55,18.28,84.88,3204.5,2.37
2024-01-01,08:30:00,2024-01-01 08:30:00,1.83,1017.64,18.23,85.92,4376.42,4.18
2024-01-01,08:40:00,2024-01-01 08:40:00,0.38,1017.75,18.48,85.48,6681.33,9.76
2024-01-01,08:50:00,2024-01-01 08:50:00,1.43,1017.91,18.77,87.74,6693.83,11.86
2024-01-01,09:00:00,2024-01-01 09:00:00,1.92,1017.91,18.33,92.29,8395.25,17.37
2024-01-01,09:10:00,2024-01-01 09:10:00,0.09,1017.96,18.02,97.37,7046.5,12.61
2024-01-01,09:20:00,2024-01-01 09:20:00,0.02,1018.16,17.73,99.93,5919.58,8.81
2024-01-01,09:30:00,2024-01-01 09:30:00,0.02,1018.21,17.9,100.0,8838.92,17.56
2024-01-01,09:40:00,2024-01-01 09:40:00,0.04,1018.13,18.08,100.0,5774.66,7.51
2024-01-01,09:50:00,2024-01-01 09:50:00,0.02,1018.03,17.83,100.0,5437.75,7.03
2024-01-01,10:00:00,2024-01-01 10:00:00,0.0,1018.04,17.75,100.0,9312.75,19.71
2024-01-01,10:10:00,2024-01-01 10:10:00,0.04,1017.88,17.99,100.0,9500.67,20.35
2024-01-01,10:20:00,2024-01-01 10:20:00,0.02,1017.82,18.13,100.0,9711.58,20.43
2024-01-01,10:30:00,2024-01-01 10:30:00,0.01,1017.82,18.2,100.0,7952.5,14.01
2024-01-01,10:40:00,2024-01-01 10:40:00,0.58,1017.71,18.11,95.79,6422.5,9.33
2024-01-01,10:50:00,2024-01-01 10:50:00,0.03,1017.55,18.21,93.92,7941.42,13.53
2024-01-01,11:00:00,2024-01-01 11:00:00,0.2,1017.46,18.64,92.71,7700.92,13.2
2024-01-01,11:10:00,2024-01-01 11:10:00,0.35,1017.28,18.78,87.1,6558.92,9.47
